AL, 09, 2008090106,   , BEST,   0, 172N,  370W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  250,  90,   0,   0,   L,   0,    ,   0,   0,     INVEST, D, 
AL, 09, 2008090112,   , BEST,   0, 173N,  384W,  35, 1005, TS,  34, NEQ,  120,   75,    0,   60, 1011,  250,  90,  40,   0,   L,   0,    ,   0,   0,       NINE, D, 
AL, 09, 2008090118,   , BEST,   0, 175N,  399W,  45, 1003, TS,  34, NEQ,  130,  110,    0,   75, 1011,  250,  90,  55,   0,   L,   0,    ,   0,   0,        IKE, D, 
AL, 09, 2008090200,   , BEST,   0, 178N,  413W,  45, 1002, TS,  34, NEQ,  140,  120,    0,   90, 1011,  250,  20,  55,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240,  75,   0,  50
AL, 09, 2008090606,   , BEST,   0, 224N,  663W, 100,  964, HU,  34, NEQ,  105,   90,   90,  115, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120, 120, 300
AL, 09, 2008090606,   , BEST,   0, 224N,  663W, 100,  964, HU,  50, NEQ,   60,   50,   45,   50, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120, 120, 300
AL, 09, 2008090606,   , BEST,   0, 224N,  663W, 100,  964, HU,  64, NEQ,   40,   35,   30,   35, 1013,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120, 120, 300
AL, 09, 2008090612,   , BEST,   0, 219N,  677W,  95,  965, HU,  34, NEQ,  110,   90,   90,  120, 1013,  200,  15, 115,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120,  90, 330
AL, 09, 2008090612,   , BEST,   0, 219N,  677W,  95,  965, HU,  50, NEQ,   60,   60,   45,   50, 1013,  200,  15, 115,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120,  90, 330
AL, 09, 2008090612,   , BEST,   0, 219N,  677W,  95,  965, HU,  64, NEQ,   40,   35,   30,   35, 1013,  200,  15, 115,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 360, 120,  90, 330
AL, 09, 2008090618,   , BEST,   0, 215N,  690W, 115,  950, HU,  34, NEQ,  115,   95,  100,  125, 1013,  175,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 150,  90, 300
AL, 09, 2008090618,   , BEST,   0, 215N,  690W, 115,  950, HU,  50, NEQ,   60,   70,   45,   60, 1013,  175,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 150,  90, 300
AL, 09, 2008090618,   , BEST,   0, 215N,  690W, 115,  950, HU,  64, NEQ,   40,   35,   30,   35, 1013,  175,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 150,  90, 300
AL, 09, 2008090700,   , BEST,   0, 212N,  703W, 115,  947, HU,  34, NEQ,  120,  100,  100,  125, 1013,  175,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 120,  90, 300
AL, 09, 2008090700,   , BEST,   0, 212N,  703W, 115,  947, HU,  50, NEQ,   75,   75,   50,   60, 1013,  175,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 120,  90, 300
AL, 09, 2008090700,   , BEST,   0, 212N,  703W, 115,  947, HU,  64, NEQ,   40,   40,   30,   35, 1013,  175,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 120,  90, 300
AL, 09, 2008090706,   , BEST,   0, 211N,  716W, 115,  947, HU,  34, NEQ,  130,  110,  100,  125, 1012,  175,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 120,  90, 300
AL, 09, 2008090706,   , BEST,   0, 211N,  716W, 115,  947, HU,  50, NEQ,   75,   75,   50,   75, 1012,  175,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 120,  90, 300
AL, 09, 2008090706,   , BEST,   0, 211N,  716W, 115,  947, HU,  64, NEQ,   40,   40,   30,   40, 1012,  175,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 120,  90, 300
AL, 09, 2008090712,   , BEST,   0, 210N,  728W, 110,  947, HU,  34, NEQ,  140,  120,  100,  125, 1012,  200,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 120,  90, 300
AL, 09, 2008090712,   , BEST,   0, 210N,  728W, 110,  947, HU,  50, NEQ,   90,   75,   50,   75, 1012,  200,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 120,  90, 300
AL, 09, 2008090712,   , BEST,   0, 210N,  728W, 110,  947, HU,  64, NEQ,   50,   40,   30,   50, 1012,  200,  15, 140,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 120,  90, 300
AL, 09, 2008090713,   , BEST,   0, 210N,  732W, 110,  947, HU,  34, NEQ,  140,  120,  100,  125, 
AL, 09, 2008090713,   , BEST,   0, 210N,  732W, 110,  947, HU,  50, NEQ,   90,   75,   50,   75, 
AL, 09, 2008090713,   , BEST,   0, 210N,  732W, 110,  947, HU,  64, NEQ,   50,   40,   30,   50, 
AL, 09, 2008090718,   , BEST,   0, 210N,  740W, 105,  946, HU,  34, NEQ,  145,  125,  100,  125, 1012,  200,  15, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 120,  90, 300
AL, 09, 2008090718,   , BEST,   0, 210N,  740W, 105,  946, HU,  50, NEQ,   90,   90,   50,   75, 1012,  200,  15, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 120,  90, 300
AL, 09, 2008090718,   , BEST,   0, 210N,  740W, 105,  946, HU,  64, NEQ,   50,   40,   30,   50, 1012,  200,  15, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 120,  90, 300
AL, 09, 2008090800,   , BEST,   0, 211N,  752W, 115,  945, HU,  34, NEQ,  150,  140,  100,  125, 1009,  200,  15, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 400, 180,  60, 240
AL, 09, 2008090800,   , BEST,   0, 211N,  752W, 115,  945, HU,  50, NEQ,   90,  105,   50,   75, 1009,  200,  15, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 400, 180,  60, 240
AL, 09, 2008090800,   , BEST,   0, 211N,  752W, 115,  945, HU,  64, NEQ,   50,   40,   30,   50, 1009,  200,  15, 130,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 400, 180,  60, 240
AL, 09, 2008090802,   , BEST,   0, 211N,  757W, 115,  945, HU,  34, NEQ,  150,  140,  100,  125, 
AL, 09, 2008090802,   , BEST,   0, 211N,  757W, 115,  945, HU,  50, NEQ,   90,  105,   50,   75, 
AL, 09, 2008090802,   , BEST,   0, 211N,  757W, 115,  945, HU,  64, NEQ,   50,   40,   30,   50, 
AL, 09, 2008090806,   , BEST,   0, 211N,  765W, 100,  950, HU,  34, NEQ,  155,  175,  100,  125, 1010,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 400, 180,  60, 240
AL, 09, 2008090806,   , BEST,   0, 211N,  765W, 100,  950, HU,  50, NEQ,   90,  120,   50,   75, 1010,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 400, 180,  60, 240
AL, 09, 2008090806,   , BEST,   0, 211N,  765W, 100,  950, HU,  64, NEQ,   50,   40,   30,   50, 1010,  200,  15, 120,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 400, 180,  60, 240
AL, 09, 2008090812,   , BEST,   0, 211N,  778W,  85,  960, HU,  34, NEQ,  155,  180,  100,  125, 1010,  200,  15, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,   0, 150
AL, 09, 2008090812,   , BEST,   0, 211N,  778W,  85,  960, HU,  50, NEQ,   90,  120,   50,   60, 1010,  200,  15, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,   0, 150
AL, 09, 2008090812,   , BEST,   0, 211N,  778W,  85,  960, HU,  64, NEQ,   40,   40,   30,   45, 1010,  200,  15, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,   0, 150
AL, 09, 2008090818,   , BEST,   0, 212N,  791W,  75,  964, HU,  34, NEQ,  155,  180,  100,  125, 1010,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,   0, 150
AL, 09, 2008090818,   , BEST,   0, 212N,  791W,  75,  964, HU,  50, NEQ,   90,  120,   30,   45, 1010,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,   0, 150
AL, 09, 2008090818,   , BEST,   0, 212N,  791W,  75,  964, HU,  64, NEQ,   30,   30,    0,   30, 1010,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,   0, 150
AL, 09, 2008090900,   , BEST,   0, 215N,  803W,  70,  965, HU,  34, NEQ,  155,  180,  100,  150, 1008,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,  90, 150
AL, 09, 2008090900,   , BEST,   0, 215N,  803W,  70,  965, HU,  50, NEQ,   90,   90,   30,   60, 1008,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,  90, 150
AL, 09, 2008090900,   , BEST,   0, 215N,  803W,  70,  965, HU,  64, NEQ,   30,   30,    0,   30, 1008,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,  90, 150
AL, 09, 2008090906,   , BEST,   0, 220N,  814W,  70,  965, HU,  34, NEQ,  155,  160,  100,  170, 1008,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,  90, 150
AL, 09, 2008090906,   , BEST,   0, 220N,  814W,  70,  965, HU,  50, NEQ,   90,   75,   30,   75, 1008,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,  90, 150
AL, 09, 2008090906,   , BEST,   0, 220N,  814W,  70,  965, HU,  64, NEQ,   30,   30,    0,   30, 1008,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 300, 180,  90, 150
AL, 09, 2008090912,   , BEST,   0, 224N,  824W,  70,  965, HU,  34, NEQ,  155,  155,  100,  170, 1008,  275,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 180, 150, 180
AL, 09, 2008090912,   , BEST,   0, 224N,  824W,  70,  965, HU,  50, NEQ,   90,   75,   30,   90, 1008,  275,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 180, 150, 180
AL, 09, 2008090912,   , BEST,   0, 224N,  824W,  70,  965, HU,  64, NEQ,   30,    0,    0,   30, 1008,  275,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 180, 150, 180
AL, 09, 2008090914,   , BEST,   0, 226N,  829W,  70,  965, HU,  34, NEQ,  155,  155,  100,  170, 
AL, 09, 2008090914,   , BEST,   0, 226N,  829W,  70,  965, HU,  50, NEQ,   90,   75,   30,   90, 
AL, 09, 2008090914,   , BEST,   0, 226N,  829W,  70,  965, HU,  64, NEQ,   30,    0,    0,   30, 
AL, 09, 2008090918,   , BEST,   0, 227N,  833W,  65,  966, HU,  34, NEQ,  155,  150,  105,  170, 1008,  275,  15,  80,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 180,  90, 180
AL, 09, 2008090918,   , BEST,   0, 227N,  833W,  65,  966, HU,  50, NEQ,  100,   75,   30,   90, 1008,  275,  15,  80,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 180,  90, 180
AL, 09, 2008090918,   , BEST,   0, 227N,  833W,  65,  966, HU,  64, NEQ,   20,    0,    0,   30, 1008,  275,  15,  80,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 180,  90, 180
AL, 09, 2008091000,   , BEST,   0, 231N,  840W,  65,  968, HU,  34, NEQ,  160,  150,  110,  180, 1006,  200,  15,  80,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 210, 150, 240
AL, 09, 2008091000,   , BEST,   0, 231N,  840W,  65,  968, HU,  50, NEQ,  100,   75,   30,   90, 1006,  200,  15,  80,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 210, 150, 240
AL, 09, 2008091000,   , BEST,   0, 231N,  840W,  65,  968, HU,  64, NEQ,   30,    0,    0,   20, 1006,  200,  15,  80,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 210, 150, 240
AL, 09, 2008091006,   , BEST,   0, 234N,  846W,  70,  964, HU,  34, NEQ,  170,  150,  115,  180, 1006,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 210, 150, 240
AL, 09, 2008091006,   , BEST,   0, 234N,  846W,  70,  964, HU,  50, NEQ,  110,   75,   45,   90, 1006,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 210, 150, 240
AL, 09, 2008091006,   , BEST,   0, 234N,  846W,  70,  964, HU,  64, NEQ,   45,    0,    0,   20, 1006,  200,  15,  85,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 180, 210, 150, 240
AL, 09, 2008091012,   , BEST,   0, 238N,  852W,  80,  959, HU,  34, NEQ,  180,  155,  120,  180, 1010,  300,  10, 100,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240, 180,  90, 240
AL, 09, 2008091012,   , BEST,   0, 238N,  852W,  80,  959, HU,  50, NEQ,  120,   80,   60,  100, 1010,  300,  10, 100,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240, 180,  90, 240
AL, 09, 2008091012,   , BEST,   0, 238N,  852W,  80,  959, HU,  64, NEQ,   75,   20,   15,   45, 1010,  300,  10, 100,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240, 180,  90, 240
AL, 09, 2008091018,   , BEST,   0, 242N,  858W,  85,  958, HU,  34, NEQ,  195,  160,  120,  180, 1010,  300,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240, 180,  90, 240
AL, 09, 2008091018,   , BEST,   0, 242N,  858W,  85,  958, HU,  50, NEQ,  130,   90,   75,  110, 1010,  300,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240, 180,  90, 240
AL, 09, 2008091018,   , BEST,   0, 242N,  858W,  85,  958, HU,  64, NEQ,   90,   40,   30,   60, 1010,  300,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 240, 180,  90, 240
AL, 09, 2008091100,   , BEST,   0, 247N,  864W,  85,  944, HU,  34, NEQ,  210,  170,  120,  180, 1011,  300,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 180, 120, 300
AL, 09, 2008091100,   , BEST,   0, 247N,  864W,  85,  944, HU,  50, NEQ,  140,  105,   90,  125, 1011,  300,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 180, 120, 300
AL, 09, 2008091100,   , BEST,   0, 247N,  864W,  85,  944, HU,  64, NEQ,  100,   60,   30,   75, 1011,  300,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 180, 120, 300
AL, 09, 2008091106,   , BEST,   0, 251N,  871W,  85,  945, HU,  34, NEQ,  220,  190,  130,  180, 1008,  240,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 210, 240, 375
AL, 09, 2008091106,   , BEST,   0, 251N,  871W,  85,  945, HU,  50, NEQ,  150,  120,   90,  140, 1008,  240,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 210, 240, 375
AL, 09, 2008091106,   , BEST,   0, 251N,  871W,  85,  945, HU,  64, NEQ,  100,   75,   30,   75, 1008,  240,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 210, 240, 375
AL, 09, 2008091112,   , BEST,   0, 255N,  880W,  85,  946, HU,  34, NEQ,  230,  240,  150,  180, 1008,  300,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 210, 240, 400
AL, 09, 2008091112,   , BEST,   0, 255N,  880W,  85,  946, HU,  50, NEQ,  150,  135,   90,  140, 1008,  300,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 210, 240, 400
AL, 09, 2008091112,   , BEST,   0, 255N,  880W,  85,  946, HU,  64, NEQ,  100,   75,   30,   60, 1008,  300,  10, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 210, 240, 400
AL, 09, 2008091118,   , BEST,   0, 258N,  889W,  85,  952, HU,  34, NEQ,  240,  240,  150,  180, 1008,  300,  60, 105,   0,   L,   0,    ,   0,   0,        IKE, D, 12, NEQ, 330, 240, 240, 400
